Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
Assets editor;1;;uGridCellSize;918;;mouseMove;1;;Asset: 'data/assets/baked/tree.nx' is unloaded its main data. New status is: 'PreLoaded';3;
NX Texture Editor;1;;uGlobalGridSize;918;;Cancel action;1;;Skybox | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/skybox/default.nxsky;3;
PopUp;1;;uProjAndView;1836;;Toggle render mode;1;;Texture | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/code_document.nxtex;3;
Viewport;1;;uView;918;;Save [Ctrl];1;;Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/code_document.nxtex;1;
Image viewer;1;;data/assets/baked/skybox/default.nxsky;2;;mouseRotation;1;;Texture | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/image_document.nxtex;3;
Assets;1;;data/assets/baked/image_document.nxtex;2;;selectObject;1;;Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/image_document.nxtex;1;
W:;6;;pickUpColorFiller;1;;Move down;1;;Texture | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/folder.nxtex;3;
Y:;6;;grid;306;;Move left;1;;Texture | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/nxfile.nxtex;3;
X:;6;;skybox;309;;Move backward;1;;Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/nxfile.nxtex;1;
Array;4;;uCameraPos;919;;Close editor;4;;GameInstance | Total FPS for this session: 134.89441086428582;3;
Logs;1;;StaticMeshBundle;2;;Move up;1;;GameInstance | {};1;
Root dock space;1;;outline;1;;Move right;1;;FPS: 137;1;
oFragColor;1;;ModalPopUp;14;;Move forward;1;;FPS: 138;3;
uSkybox;2;;data/assets/baked/document.nxtex;2;;;;;FPS: 139;4;
uView;307;;HorizontalLayout;9;;;;;FPS: 141;3;
uOutlineColor;1;;EditorSettingsEWC::KeymapItem;3;;;;;FPS: 142;1;
uOutlineSize;1;;N4Core3Gui8LabelRowINS0_9TextInputEEE;4;;;;;FPS: 97;1;
outline;2;;VerticalLayout;10;;;;;FPS: 22;1;
uPickingColor;1;;BaseEWC;10;;;;;17:43:37 [T] [AssetsManager] Skybox | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/skybox/default.nxsky;3;
objectIdentifier;2;;BaseFloatEWC;14;;;;;17:43:37 [T] [AssetsManager] Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/nxfile.nxtex;3;
Text editor;1;;LogsWindowEWC;4;;;;;17:43:37 [T] [AssetsManager] Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/folder.nxtex;3;
uGridColorThin;1;;BaseMenuBarEWC;12;;;;;17:43:37 [T] [AssetsManager] Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/document.nxtex;3;
uGridCellSize;307;;EditorSettingsEWC::ColorItem;14;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'selectObject';3;
defaultTextured;2;;objectIdentifier;1;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Toggle render mode';3;
data/assets/baked/skybox/default.nxsky;2;;EditorMenuBarWindowEWC;3;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Move left';3;
data/assets/baked/mesh3d/Nature/tree.nxmesh3d;1;;EditorSettingsEWC;6;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Move backward';3;
data/assets/baked/nxfile.nxtex;2;;data/assets/baked/nxfile.nxtex;2;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Move forward';3;
data/assets/baked/mesh3d/Nature/Tree5.nxmesh3d;1;;ModalECSSearchPopUpEWC;4;;;;;17:43:37 [I] [Graphics] ShaderProgram | The shader program 'skybox' linked successfully.;3;
data/assets/baked/mesh3d/Nature/Tree4.nxmesh3d;1;;NxEditorBaseEditorEWC;4;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Cancel action';3;
grid;307;;Layout;3;;;;;17:43:37 [D] [Graphics] ShaderProgram | Creating of the shader program 'skybox' is started.;3;
data/assets/baked/mesh3d/Nature/Tree2.nxmesh3d;1;;data/assets/baked/folder.nxtex;2;;;;;17:43:37 [I] [Graphics] ShaderManager | Was found shader: skybox;3;
data/assets/baked/mesh3d/Nature/Tree1.nxmesh3d;1;;ImageViewerEWC;4;;;;;17:43:37 [I] [Graphics] ShaderProgram | The shader program 'pickUpColorFiller' linked successfully.;3;
uCameraObjectNDCDistance;1;;uSkybox;4;;;;;17:43:37 [I] [Graphics] ShaderManager | Was found shader: pickUpColorFiller;3;
data/assets/baked/mesh3d/Nature/SmallGrass.nxmesh3d;1;;ListView;3;;;;;FPS: 108;1;
data/assets/baked/mesh3d/Nature/Rock4.nxmesh3d;1;;data/assets/baked/code_document.nxtex;2;;;;;17:43:37 [I] [Graphics] ShaderProgram | The shader program 'outline' linked successfully.;3;
data/assets/baked/mesh3d/Nature/Rock3.nxmesh3d;1;;Widget;4;;;;;17:43:37 [D] [Graphics] ShaderProgram | Creating of the shader program 'outline' is started.;3;
